Adj Close	Company Name	Date	记录数	Ticker
15.26	"Symantec"	2013-01-23 00:00:00.000	"1"	"SYMC"
16.93	"Symantec"	2013-01-24 00:00:00.000	"1"	"SYMC"
16.38	"Symantec"	2013-01-25 00:00:00.000	"1"	"SYMC"
16.86	"Symantec"	2013-01-28 00:00:00.000	"1"	"SYMC"
16.87	"Symantec"	2013-01-29 00:00:00.000	"1"	"SYMC"
17.05	"Symantec"	2013-01-30 00:00:00.000	"1"	"SYMC"
17.93	"Symantec"	2013-01-31 00:00:00.000	"1"	"SYMC"
18.66	"Symantec"	2013-02-01 00:00:00.000	"1"	"SYMC"
18.51	"Symantec"	2013-02-04 00:00:00.000	"1"	"SYMC"
17.85	"Symantec"	2013-02-05 00:00:00.000	"1"	"SYMC"
17.78	"Symantec"	2013-02-06 00:00:00.000	"1"	"SYMC"
18.08	"Symantec"	2013-02-07 00:00:00.000	"1"	"SYMC"
17.9	"Symantec"	2013-02-08 00:00:00.000	"1"	"SYMC"
17.72	"Symantec"	2013-02-11 00:00:00.000	"1"	"SYMC"
17.76	"Symantec"	2013-02-12 00:00:00.000	"1"	"SYMC"
18.13	"Symantec"	2013-02-13 00:00:00.000	"1"	"SYMC"
17.48	"Symantec"	2013-02-14 00:00:00.000	"1"	"SYMC"
17.54	"Symantec"	2013-02-15 00:00:00.000	"1"	"SYMC"
17.33	"Symantec"	2013-02-19 00:00:00.000	"1"	"SYMC"
17.88	"Symantec"	2013-02-20 00:00:00.000	"1"	"SYMC"
17.44	"Symantec"	2013-02-21 00:00:00.000	"1"	"SYMC"
17.48	"Symantec"	2013-02-22 00:00:00.000	"1"	"SYMC"
17.86	"Symantec"	2013-02-25 00:00:00.000	"1"	"SYMC"
17.57	"Symantec"	2013-02-26 00:00:00.000	"1"	"SYMC"
17.5	"Symantec"	2013-02-27 00:00:00.000	"1"	"SYMC"
17.29	"Symantec"	2013-02-28 00:00:00.000	"1"	"SYMC"
16.84	"Symantec"	2013-03-01 00:00:00.000	"1"	"SYMC"
16.85	"Symantec"	2013-03-03 00:00:00.000	"1"	"SYMC"
17.12	"Symantec"	2013-03-04 00:00:00.000	"1"	"SYMC"
17.02	"Symantec"	2013-03-05 00:00:00.000	"1"	"SYMC"
17.05	"Symantec"	2013-03-06 00:00:00.000	"1"	"SYMC"
16.94	"Symantec"	2013-03-07 00:00:00.000	"1"	"SYMC"
16.76	"Symantec"	2013-03-10 00:00:00.000	"1"	"SYMC"
17.23	"Symantec"	2013-03-11 00:00:00.000	"1"	"SYMC"
17.2	"Symantec"	2013-03-12 00:00:00.000	"1"	"SYMC"
17.26	"Symantec"	2013-03-13 00:00:00.000	"1"	"SYMC"
16.46	"Symantec"	2013-03-14 00:00:00.000	"1"	"SYMC"
16.5	"Symantec"	2013-03-17 00:00:00.000	"1"	"SYMC"
16.87	"Symantec"	2013-03-18 00:00:00.000	"1"	"SYMC"
16.49	"Symantec"	2013-03-19 00:00:00.000	"1"	"SYMC"
17.09	"Symantec"	2013-03-20 00:00:00.000	"1"	"SYMC"
17.14	"Symantec"	2013-03-24 00:00:00.000	"1"	"SYMC"
17.09	"Symantec"	2013-03-25 00:00:00.000	"1"	"SYMC"
17.04	"Symantec"	2013-03-26 00:00:00.000	"1"	"SYMC"
17.02	"Symantec"	2013-03-27 00:00:00.000	"1"	"SYMC"
16.82	"Symantec"	2013-03-28 00:00:00.000	"1"	"SYMC"
16.62	"Symantec"	2013-03-31 00:00:00.000	"1"	"SYMC"
17.42	"Symantec"	2013-04-01 00:00:00.000	"1"	"SYMC"
17.51	"Symantec"	2013-04-02 00:00:00.000	"1"	"SYMC"
17.17	"Symantec"	2013-04-03 00:00:00.000	"1"	"SYMC"
17.34	"Symantec"	2013-04-04 00:00:00.000	"1"	"SYMC"
17.43	"Symantec"	2013-04-07 00:00:00.000	"1"	"SYMC"
17.53	"Symantec"	2013-04-08 00:00:00.000	"1"	"SYMC"
17.28	"Symantec"	2013-04-09 00:00:00.000	"1"	"SYMC"
17.45	"Symantec"	2013-04-10 00:00:00.000	"1"	"SYMC"
16.87	"Symantec"	2013-04-11 00:00:00.000	"1"	"SYMC"
16.88	"Symantec"	2013-04-14 00:00:00.000	"1"	"SYMC"
16.93	"Symantec"	2013-04-15 00:00:00.000	"1"	"SYMC"
17.12	"Symantec"	2013-04-16 00:00:00.000	"1"	"SYMC"
17.59	"Symantec"	2013-04-17 00:00:00.000	"1"	"SYMC"
17.69	"Symantec"	2013-04-18 00:00:00.000	"1"	"SYMC"
17.57	"Symantec"	2013-04-21 00:00:00.000	"1"	"SYMC"
17.36	"Symantec"	2013-04-22 00:00:00.000	"1"	"SYMC"
17.4	"Symantec"	2013-04-23 00:00:00.000	"1"	"SYMC"
17.27	"Symantec"	2013-04-24 00:00:00.000	"1"	"SYMC"
17.47	"Symantec"	2013-04-25 00:00:00.000	"1"	"SYMC"
17.3	"Symantec"	2013-04-28 00:00:00.000	"1"	"SYMC"
17.44	"Symantec"	2013-04-29 00:00:00.000	"1"	"SYMC"
17.22	"Symantec"	2013-04-30 00:00:00.000	"1"	"SYMC"
19.34	"Symantec"	2013-05-01 00:00:00.000	"1"	"SYMC"
19.45	"Symantec"	2013-05-02 00:00:00.000	"1"	"SYMC"
19.24	"Symantec"	2013-05-05 00:00:00.000	"1"	"SYMC"
19.91	"Symantec"	2013-05-06 00:00:00.000	"1"	"SYMC"
19.71	"Symantec"	2013-05-07 00:00:00.000	"1"	"SYMC"
19.83	"Symantec"	2013-05-08 00:00:00.000	"1"	"SYMC"
19.99	"Symantec"	2013-05-09 00:00:00.000	"1"	"SYMC"
20.1	"Symantec"	2013-05-12 00:00:00.000	"1"	"SYMC"
20.63	"Symantec"	2013-05-13 00:00:00.000	"1"	"SYMC"
20.59	"Symantec"	2013-05-14 00:00:00.000	"1"	"SYMC"
20.79	"Symantec"	2013-05-15 00:00:00.000	"1"	"SYMC"
20.76	"Symantec"	2013-05-16 00:00:00.000	"1"	"SYMC"
20.87	"Symantec"	2013-05-19 00:00:00.000	"1"	"SYMC"
20.59	"Symantec"	2013-05-20 00:00:00.000	"1"	"SYMC"
20.53	"Symantec"	2013-05-21 00:00:00.000	"1"	"SYMC"
20.82	"Symantec"	2013-05-22 00:00:00.000	"1"	"SYMC"
20.66	"Symantec"	2013-05-23 00:00:00.000	"1"	"SYMC"
21.2	"Symantec"	2013-05-27 00:00:00.000	"1"	"SYMC"
21.38	"Symantec"	2013-05-28 00:00:00.000	"1"	"SYMC"
21.52	"Symantec"	2013-05-29 00:00:00.000	"1"	"SYMC"
21.73	"Symantec"	2013-05-30 00:00:00.000	"1"	"SYMC"
20.96	"Symantec"	2013-06-02 00:00:00.000	"1"	"SYMC"
20.76	"Symantec"	2013-06-03 00:00:00.000	"1"	"SYMC"
21.11	"Symantec"	2013-06-04 00:00:00.000	"1"	"SYMC"
20.95	"Symantec"	2013-06-05 00:00:00.000	"1"	"SYMC"
20.21	"Symantec"	2013-06-06 00:00:00.000	"1"	"SYMC"
20.46	"Symantec"	2013-06-09 00:00:00.000	"1"	"SYMC"
20.3	"Symantec"	2013-06-10 00:00:00.000	"1"	"SYMC"
19.8	"Symantec"	2013-06-11 00:00:00.000	"1"	"SYMC"
19.94	"Symantec"	2013-06-12 00:00:00.000	"1"	"SYMC"
20.21	"Symantec"	2013-06-13 00:00:00.000	"1"	"SYMC"
